P(1) N(0) UNKNOWN(2),
0,How do we know that the Trump overtures towards Taiwan and the Phillipines aren't motivated by personal commercial inter?? 
,
0,#diplomacy #Taiwan: @xeniawickett #ChathamHouse and speakers @IFRI_ 12.1: China should not be too pleased with the election of #Trump¡K China has lodged a diplomatic protest following Trump's call with Taiwan's president https://t.co/4kBooRWMyl
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/nqKTBVr3eK
,
0,"China blames Taiwan for president&amp;#039;s &amp;#039;petty&amp;#039; phone call with Trump, lodges protest https://t.co/37Ex5MBqtn"
0,Shorter: Rocket Scientist-In-Chief Trump gets played like a fiddle by President of #Taiwan. #TrumpTaiwan  https://t.co/rt??t
1,"Obama Administration Sold Weapons To Taiwan, But Trump Can't Accept A Congratulatory Phone Call From Them?"
0,#China #lodges #complaint #over #Trump #Taiwan #call #TrumpLeaks #TrumpTransition LEAVE THE PRESIDENT ALONE LET... htt?? 
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiw?? 
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiw?? 
0,"Chinese foreign minister calls phone call between Taiwan's president and Trump ""just a small trick by Taiwan"" https://t.co/?? "
0,"In 48 hours, #Trump Lied about #Carrier Deal, #Taiwan &amp;  I'm sure 5 more things. https://t.co/ZhuwXEnxH9"
0,Note: Trump's been eyeing a major real estate project in Taiwan!! Perfect e.g. of national security facets of Trump's conflic?? 
0,"Trump Org: ""we are not planning any expansion into Taiwan."" How abt this? Great find @mega2e https://t.co/zBLAHLeJmz htt?? "
1,Obama borrows $500 billion from China in 8 years. Media is silent Trump takes a phone call from Taiwan &amp; gets accused o?? 
0,Donald Trump speaks directly with Taiwan's president - breaking with US policy... https://t.co/3JfH5roNwN by #BBCBreaking via @c0nvey
0,This extract from my book Easternisation gives a flavour of why Trump's Taiwan phone call is so potentially dangerous ht?? 
0,Re: Trump &amp; Taiwan. Face it. Our president-elect is an imbecile. Incurious. Ignorant. Lazy. Dangerous. Imbecile. #WereSoScrew??i
0,China lodges complaint with US over Trump's Taiwan phone call https://t.co/BEew6CX0tb
